time:2025-04-16 10:56:54, type:DOWN, key:triangulo
time:2025-04-16 11:30:13, type:PICK, key:triangulo, e:33
time:2025-04-20 10:02:17, type:PICK, key:triangulo, e:62
time:2025-04-20 10:02:41, type:PICK, key:triangulo, e:62
time:2025-04-20 10:03:20, type:TEST, key:triangulo, c:0, e:63
time:2025-04-20 10:03:57, type:TEST, key:triangulo, c:0, e:63
time:2025-04-20 10:04:11, type:FREE, key:triangulo, e:63
time:2025-04-20 10:05:09, type:TEST, key:triangulo, c:0, e:64
time:2025-04-20 10:05:20, type:TEST, key:triangulo, c:0, e:65
time:2025-04-20 10:05:51, type:TEST, key:triangulo, c:0, e:65
time:2025-04-20 10:06:17, type:TEST, key:triangulo, c:0, e:66
time:2025-04-20 10:06:28, type:TEST, key:triangulo, c:0, e:66
time:2025-04-20 10:07:18, type:TEST, key:triangulo, c:100, e:67
time:2025-04-20 10:07:36, type:BACK, key:triangulo, e:67
time:2025-04-20 10:08:13, type:SELF, key:triangulo, c:100, a:5, s:4, e:68
time:2025-04-26 11:56:36, type:SELF, key:triangulo, c:100, a:5, s:4, e:68
time:2025-04-29 10:22:59, type:PICK, key:triangulo, e:68
time:2025-04-29 10:23:01, type:BACK, key:triangulo, e:68
time:2025-04-29 10:23:10, type:SELF, key:triangulo, c:100, a:5, s:4, e:68
time:2025-04-29 10:23:12, type:PICK, key:triangulo, e:68
time:2025-04-29 10:23:22, type:TEST, key:triangulo, c:0, e:68
time:2025-04-29 10:23:23, type:BACK, key:triangulo, e:68
time:2025-04-29 10:23:24, type:PICK, key:triangulo, e:68
time:2025-04-29 10:24:07, type:BACK, key:triangulo, e:69
time:2025-04-29 10:24:12, type:SELF, key:triangulo, c:0, a:5, s:5, e:69
time:2025-06-14 17:33:04, type:PICK, key:triangulo, e:69
time:2025-06-14 17:33:07, type:TEST, key:triangulo, c:100, e:69
time:2025-06-14 17:33:08, type:BACK, key:triangulo, e:69
time:2025-06-14 17:33:15, type:SELF, key:triangulo, c:100, a:6, s:5, clear:4, fun:5, easy:4, e:69
time:2025-06-14 17:33:15, type:PICK, key:triangulo, e:69
time:2025-06-14 17:33:17, type:TEST, key:triangulo, c:100, e:69
time:2025-06-14 17:33:17, type:BACK, key:triangulo, e:69
